neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אונו הירוקה,9339.26,9536.85,11893.04,13023.19,14672.7,17082.68,15644.02,16936.09,17664.73,18104.1,16969.27,18844.99,19733.09,19274.31,19139.97,22184.36,18082.06,22134.17,24373.12,28764.35
גני אילן,9192.67,11353.3,12374.08,13088.95,16984.19,23233.36,19049.0,26934.42,21689.32,20032.19,23652.53,26509.16,22883.21,25779.26,23543.44,29039.13,28676.48,24655.67,32168.6,31973.12
המרכז,9237.54,8293.42,10122.24,12133.62,13843.8,16686.06,16155.43,19677.33,17826.92,16393.21,17186.07,21180.02,20821.63,20217.41,22380.81,23873.29,27478.31,29406.69,38842.75,29132.96
מגדל המים,10686.88,10382.91,10091.74,15024.48,,,,24801.08,19862.45,17017.45,31124.99,13521.77,8473.42,12711.53,12424.47,18149.97,13771.39,8276.26,6207.1,7941.78
עבר הירדן,11802.51,11333.54,12754.66,16107.09,16662.56,17619.09,17546.08,20931.51,20586.27,21335.27,23580.64,23812.33,27070.77,26427.42,25373.59,26016.86,29538.43,37111.36,33837.95,34687.63
פסגת אונו,10825.54,11936.52,13912.59,15042.61,18456.91,18871.41,19345.69,20776.78,21649.77,20358.68,23768.68,24000.59,24470.64,24983.27,24608.76,24641.06,30663.92,33514.29,33208.56,32932.34
פרדס ריספלד,13449.39,13879.94,14906.27,17127.3,13520.2,21097.34,21372.98,22158.45,22998.47,23544.94,23340.64,26094.46,25407.46,26609.82,28687.12,28631.72,31322.95,33376.68,34902.64,34950.76
קיראון,,,,,,,,,,,,,,,24440.32,22792.65,27687.78,32456.73,31699.04,33076.59
קרית אונו הותיקה,11763.44,14323.94,14858.47,15745.88,20145.52,21647.13,18782.49,18862.31,19676.46,19421.21,25187.22,19730.27,20286.09,23162.34,22062.8,22639.76,28314.64,26289.64,24474.3,37434.72
רימון,11163.24,11429.83,13632.12,14696.62,16169.89,17430.27,16653.71,18928.12,18976.42,18799.19,22228.67,21744.35,19559.65,21752.22,23006.74,24288.77,25452.87,31423.67,29556.21,31048.39
שיכון רסקו,9940.8,9238.73,10510.94,14151.41,15280.0,17616.21,16054.9,17132.01,17538.6,17331.21,20166.01,19026.91,21444.37,22044.46,22538.58,24461.53,27927.19,28098.87,33642.84,43485.71
