cityId,cityName,neighborhoodId,neighborhoodName,area,type
2650,רמת השרון,65210510,נווה מגן,אזור מרכזי ומגורים,ישנה
2650,רמת השרון,65210511,מורשה,אזור מרכזי ומגורים,ישנה
2650,רמת השרון,65210512,אלון,אזור מרכזי ומגורים,ישנה
2650,רמת השרון,65210513,קרית יערים,אזור מרכזי ומגורים,ישנה
2650,רמת השרון,65210586,הדר,אזור מרכזי ומגורים,ישנה
2650,רמת השרון,65210582,נווה גן,אזור מרכזי ומגורים,חדשה
2650,רמת השרון,65210584,גולן,אזור מרכזי ומגורים,חדשה
2650,רמת השרון,65210585,נווה רום,אזור מרכזי ומגורים,חדשה
2650,רמת השרון,65210587,נווה רסקו,אזור מרכזי ומגורים,חדשה
2650,רמת השרון,65210581,מיתחם גלילות,אזור תעשייה ומתחמים עסקיים,-
